id,roi,label.name,x,y,z,side,abbrev,long.name
103,103,RH_P.sup,27.8553,58.2962,60.006,right,R.P.sup,G_parietal_sup
104,104,RH_pos.C,45.2711,22.4595,57.3201,right,R.pos.C,G_postcentral
105,105,RH_pre.C,43.5278,4.85592,51.876,right,R.pre.C,G_precentral
106,106,RH_pre.CU,7.18362,61.9804,47.6536,right,R.pre.CU,G_precuneus
107,107,RH_R,4.17369,-36.1068,-21.5006,right,R.R,G_rectus
108,108,RH_sub.Call,4.20305,-12.0643,-11.3942,right,R.sub.Call,G_subcallosal
109,109,RH_T.sup.Gttra,50.3986,12.8375,6.21723,right,R.T.sup.Gttra,G_temp_sup-G_T_transv
110,110,RH_T.sup.lat,58.8387,2.05598,-6.37252,right,R.T.sup.lat,G_temp_sup-Lateral
111,111,RH_T.sup.pol,41.7572,-9.09126,-18.1936,right,R.T.sup.pol,G_temp_sup-Plan_polar
112,112,RH_T.sup.tem,59.7727,27.2697,20.201,right,R.T.sup.tem,G_temp_sup-Plan_tempo
113,113,RH_T.inf,55.3824,28.3665,-27.1528,right,R.T.inf,G_temporal_inf
114,114,RH_T.mid,61.8268,23.1157,-13.2522,right,R.T.mid,G_temporal_middle
115,115,RH_Lat.FisHor,42.9063,-25.6384,5.16122,right,R.Lat.FisHor,Lat_Fis-ant-Horizont
116,116,RH_Lat.FisVer,49.081,-22.8548,10.0952,right,R.Lat.FisVer,Lat_Fis-ant-Vertical
117,117,RH_Lat.FisPos,40.6523,24.0872,17.1032,right,R.Lat.FisPos,Lat_Fis-post
119,119,RH_pole.O,17.0244,94.1482,-7.08,right,R.pole.O,Pole_occipital
120,120,RH_poleT,32.5816,-9.71321,-39.6815,right,R.poleT,Pole_temporal
121,121,RH_S.Cal,15.9615,63.632,5.08948,right,R.S.Cal,S_calcarine
122,122,RH_S.Cen,36.1448,18.6601,49.9507,right,R.S.Cen,S_central
123,123,RH_S.cingM,12.1299,35.3677,47.6661,right,R.S.cingM,S_cingul-Marginalis
124,124,RH_S.Ins.ant,32.8581,-23.407,-7.30748,right,R.S.Ins.ant,S_circular_insula_ant
125,125,RH_S.Ins.inf,41.0878,6.83867,-8.34213,right,R.S.Ins.inf,S_circular_insula_inf
126,126,RH_S.Ins.sup,37.3322,-7.56082,9.35394,right,R.S.Ins.sup,S_circular_insula_sup
127,127,RH_S.coll.tra.ant,42.2131,19.0898,-28.4773,right,R.S.coll.tra.ant,S_collat_transv_ant
128,128,RH_S.coll.tra.pos,25.8005,77.3411,-8.23769,right,R.S.coll.tra.pos,S_collat_transv_post
129,129,RH_S.F.inf,42.4887,-31.0648,19.3331,right,R.S.F.inf,S_front_inf
130,130,RH_S.F.mid,25.2613,-52.0106,23.2802,right,R.S.F.mid,S_front_middle
131,131,RH_S.F.sup,25.599,-21.057,48.0023,right,R.S.F.sup,S_front_sup
132,132,RH_S.IPJ,50.0477,40.2538,42.4966,right,R.S.IPJ,S_interm_prim-Jensen
133,133,RH_S.Iptra,37.084,52.8137,41.727,right,R.S.Iptra,S_intrapariet_and_P_trans
134,134,RH_S.O.mid.Lu,35.2362,84.8667,8.53455,right,R.S.O.mid.Lu,S_oc_middle_and_Lunatus
135,135,RH_S.O.sup.tra,33.9237,78.2616,24.2259,right,R.S.O.sup.tra,S_oc_sup_and_transversal
136,136,RH_S.O.ant,46.3152,64.9118,-4.42028,right,R.S.O.ant,S_occipital_ant
137,137,RH_S.O.lat,46.2941,50.7172,-18.1105,right,R.S.O.lat,S_oc-temp_lat
138,138,RH_S.OT.med.ling,29.9242,42.6155,-13.2161,right,R.S.OT.med.ling,S_oc-temp_med_and_Lingual
139,139,RH_S.Orb.lat,41.4856,-45.1316,1.89491,right,R.S.Orb.lat,S_orbital_lateral
140,140,RH_S.Orb.med,11.3858,-24.5095,-19.6369,right,R.S.Orb.med,S_orbital_med-olfact
141,141,RH_S.Orb.H,26.2864,-38.5814,-15.2394,right,R.S.Orb.H,S_orbital-H_Shaped
142,142,RH_S.PO,20.4197,65.3965,27.576,right,R.S.PO,S_parieto_occipital
143,143,RH_S.per.Call,4.99535,-0.655693,16.1317,right,R.S.per.Call,S_pericallosal
144,144,RH_S.pos.C,41.0606,28.6337,48.5182,right,R.S.pos.C,S_postcentral
145,145,RH_S.pre.C.inf,44.0843,-7.42062,28.9104,right,R.S.pre.C.inf,S_precentral-inf-part
146,146,RH_S.pre.C.sup,26.5337,7.88025,56.8537,right,R.S.pre.C.sup,S_precentral-sup-part
147,147,RH_S.sub.Orb,5.76376,-41.7408,-13.1605,right,R.S.sub.Orb,S_suborbital
148,148,RH_S.sub.P,9.56875,48.459,36.2575,right,R.S.sub.P,S_subparietal
149,149,RH_S.T.inf,55.0831,26.237,-18.3195,right,R.S.T.inf,S_temporal_inf
150,150,RH_S.T.sup,53.3337,33.2735,3.33675,right,R.S.T.sup,S_temporal_sup
151,151,RH_S.T.tra,55.4518,17.4518,6.70248,right,R.S.T.tra,S_temporal_transverse
152,152,LH_thal,-10.6665,19.1001,5.60191,left,L.thal,Thalamus-Proper
153,153,LH_caud,-12.92,-9.093,9.94081,left,L.caud,Caudate
154,154,LH_putm,-25.1331,-1.02629,0.243652,left,L.putm,Putamen
155,155,LH_pall,-18.1471,2.82531,-1.49973,left,L.pall,Pallidum
156,156,LH_hipp,-24.666,24.0487,-13.4774,left,L.hipp,Hippocampus
157,157,LH_amyg,-22.6013,5.28893,-21.0159,left,L.amyg,Amygdala
158,158,LH_accm,-8.94621,-10.8068,-8.06972,left,L.accm,Accumbens-area
159,159,RH_thal,11.8024,18.04,5.74693,right,R.thal,Thalamus-Proper
160,160,RH_caud,13.8031,-10.4251,10.5153,right,R.caud,Caudate
161,161,RH_putm,25.9013,-2.72064,0.155388,right,R.putm,Putamen
162,162,RH_pall,19.3672,1.91418,-1.40339,right,R.pall,Pallidum
163,163,RH_hipp,26.8665,22.5015,-13.7685,right,R.hipp,Hippocampus
164,164,RH_amyg,22.8416,4.48449,-21.1106,right,R.amyg,Amygdala
165,165,RH_accm,9.33203,-10.9043,-7.77539,right,R.accm,Accumbens-area
